,City,Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
0,kruisfontein,57.05,86.0,0.0,5.5,-34.0,24.73
1,ushuaia,44.6,52.0,75.0,12.75,-54.81,-68.31
2,valleyview,57.86,85.0,0.0,4.5,55.07,-117.28
3,dikson,51.2,85.0,20.0,11.65,73.51,80.55
4,norman wells,57.2,67.0,40.0,14.99,65.28,-126.83
6,mataura,46.25,83.0,92.0,13.56,-46.19,168.86
7,rikitea,69.83,100.0,56.0,12.1,-23.12,-134.97
8,ust-maya,57.5,90.0,56.0,3.94,60.42,134.54
9,den helder,56.07,93.0,90.0,11.41,52.96,4.76
10,fortuna,76.98,83.0,0.0,3.36,38.18,-1.13
11,berlevag,49.67,94.0,92.0,10.09,70.86,29.09
12,okhotsk,59.84,100.0,92.0,5.06,59.36,143.24
13,hobart,53.6,58.0,0.0,11.41,-42.88,147.33
15,dzerzhinskoye,58.67,92.0,24.0,2.93,56.84,95.22
16,te anau,43.46,86.0,0.0,3.6,-45.41,167.72
17,broken hill,54.53,57.0,0.0,10.54,-31.97,141.45
18,saint-philippe,75.54,50.0,1.0,5.82,45.36,-73.48
20,naryan-mar,39.86,94.0,0.0,3.04,67.67,53.09
21,albany,71.24,61.0,20.0,2.48,42.65,-73.75
22,kwinana,49.44,100.0,0.0,5.82,-32.25,115.77
23,bandarbeyla,75.86,93.0,20.0,33.71,9.49,50.81
25,puerto ayora,75.2,64.0,75.0,17.22,-0.74,-90.35
26,nivala,62.0,92.0,92.0,8.08,63.93,24.96
27,mar del plata,46.61,52.0,64.0,16.24,-46.43,-67.52
29,valparaiso,68.4,82.0,90.0,12.75,41.47,-87.06
30,bluff,66.23,57.0,80.0,4.38,-23.58,149.07
31,vaini,67.85,99.0,92.0,4.5,15.34,74.49
32,hilo,78.98,90.0,90.0,13.87,19.71,-155.08
33,ca mau,79.73,96.0,32.0,7.63,9.18,105.15
34,qaanaaq,36.26,96.0,0.0,5.5,77.48,-69.36
35,cape town,44.6,100.0,0.0,3.36,-33.93,18.42
36,truth or consequences,84.02,38.0,1.0,10.29,33.13,-107.25
37,victoria,82.4,88.0,75.0,2.24,5.28,115.24
38,sandwick,42.8,100.0,44.0,9.17,54.57,-2.89
39,sao filipe,77.84,98.0,32.0,6.06,14.9,-24.5
40,atuona,78.83,100.0,0.0,14.67,-9.8,-139.03
42,busselton,53.81,100.0,20.0,5.95,-33.64,115.35
43,gwadar,78.56,100.0,80.0,5.61,25.12,62.33
44,avarua,82.4,69.0,20.0,9.17,-21.21,-159.78
45,chuy,50.39,100.0,92.0,25.21,-33.69,-53.46
46,port lincoln,56.87,96.0,0.0,4.5,-34.72,135.86
47,tecoanapa,86.0,70.0,75.0,8.05,16.99,-99.26
48,dukat,57.14,84.0,8.0,2.15,42.44,22.31
49,bredasdorp,44.6,87.0,0.0,2.24,-34.53,20.04
50,lakatoro,76.22,97.0,80.0,11.43,-16.11,167.42
51,hithadhoo,81.98,100.0,24.0,3.71,-0.6,73.08
52,tuktoyaktuk,50.0,61.0,75.0,4.7,69.44,-133.03
53,alofi,77.75,100.0,80.0,2.71,-19.06,-169.92
54,kapaa,84.74,81.0,90.0,23.04,22.08,-159.32
55,seoul,78.31,69.0,75.0,6.93,37.57,126.98
56,butaritari,82.52,100.0,44.0,2.37,3.07,172.79
58,santa fe,51.2,59.0,0.0,14.23,-31.62,-60.7
59,beni suef,78.83,53.0,0.0,8.63,29.07,31.1
60,lebu,55.4,87.0,75.0,4.7,8.96,38.73
61,ichnya,51.2,74.0,0.0,2.71,50.86,32.39
62,touros,77.48,86.0,44.0,15.12,-5.2,-35.46
63,menongue,69.83,43.0,88.0,2.37,-14.66,17.68
64,airai,70.91,79.0,12.0,1.92,-8.93,125.41
65,labuhan,75.5,89.0,8.0,2.37,-2.54,115.51
66,cherskiy,38.78,94.0,80.0,6.4,68.75,161.3
67,olinda,75.2,73.0,90.0,9.17,-2.03,-79.75
68,umarkot,79.37,82.0,92.0,15.12,25.37,69.74
69,yegorlykskaya,64.7,40.0,0.0,11.54,46.56,40.65
70,palmer,57.2,62.0,0.0,4.7,-34.85,139.16
71,gladstone,71.63,63.0,20.0,13.67,-23.84,151.26
72,naze,69.83,97.0,92.0,2.93,5.43,7.07
73,esperance,82.4,74.0,20.0,8.05,10.24,-61.45
74,san quintin,80.6,83.0,75.0,11.41,17.54,120.52
75,bastrop,90.63,45.0,1.0,4.7,32.78,-91.91
76,sitka,87.29,69.0,56.0,3.71,37.17,-99.65
77,yulara,57.2,50.0,0.0,8.05,-25.24,130.99
78,oistins,80.6,74.0,20.0,14.99,13.07,-59.53
79,ust-nera,50.03,98.0,88.0,2.37,64.57,143.24
